70_100,70_80,70_50,70_30,70_0,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-7.533049143,,-7.072602733,,-6.246510594,-3.566622501,,-3.283922774,-2.985417491,,-1.794565405,-1.742452516,,,-0.9315787955,,,-0.898382663,-0.8688599722
2.037283876,,1.275344746,,0.8247868564,0.6309751423,,0.1859871981,0.03927007583,,0.1457974912,-0.04684579574,,,0.03701246136,,,-0.2280171927,-0.2625458068
-1.140198776,,-1.830424732,,-1.999344424,-0.9290911905,,-1.315746717,-1.347502902,,-0.6568236813,-0.8478159687,,,-0.382045829,,,-0.6474686867,-0.6709391092
0.2015657004,,-1.406646671,,-1.944129307,-0.696603894,,-1.470436313,-1.605923121,,-0.6835057361,-1.02208169,,,-0.4263103477,,,-0.8618655023,-0.9068370068
0.04399571392,,-2.670254889,,-3.480945263,-1.341306805,,-2.511890875,-2.703740092,,-1.196068361,-1.684045382,,,-0.7370698256,,,-1.328134639,-1.387839873
-1.088096738,,-4.560442153,,-5.59431079,-2.389063334,,-3.898405678,-4.131867068,,-1.935067174,-2.546800836,,,-1.180112022,,,-1.887207336,-1.957127542
-2.028163078,,-5.902770351,,-7.146365418,-3.232367296,,-4.977607468,-5.259017561,,-2.548921132,-3.241906739,,,-1.559593976,,,-2.335478613,-2.413174569
-2.619960827,,-6.54880585,,-7.879682518,-3.67342318,,-5.499173472,-5.804273667,,-2.862547617,-3.582591374,,,-1.755328131,,,-2.551189355,-2.631994899
-3.795686198,,-7.78113114,,-9.130606338,-4.4187494,,-6.283316084,-6.585053473,,-3.325709745,-4.05644564,,,-2.028493949,,,-2.822825062,-2.902552794
-5.966433403,,-9.984575439,,-11.44490927,-5.887011622,,-7.824303619,-8.149695365,,-4.281899998,-5.02507411,,,-2.610869503,,,-3.388042531,-3.467549095
-9.884593691,,-13.79402529,,-15.3115026,-8.427752589,,-10.32279004,-10.65223459,,-5.872725796,-6.566164086,,,-3.570424469,,,-4.23877642,-4.309510487
-15.01319486,,-18.65782843,,-20.15573543,-11.67748298,,-13.37489676,-13.68417892,,-7.853647725,-8.415247955,,,-4.755773392,,,-5.204544064,-5.256282875
-20.35740106,,-23.61665291,,-25.01596286,-14.94050747,,-16.33110735,-16.597367,,-9.778785505,-10.15855414,,,-5.889412937,,,-6.061495414,-6.08815983
-24.58364693,,-27.45094519,,-28.72536502,-17.40834796,,-18.50163894,-18.7219573,,-11.1832442,-11.39963483,,,-6.699150379,,,-6.635988182,-6.64077166
